,URL,Auction Number
412,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-593,593
363,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-592,592
9,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-591,591
257,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-590,590
159,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-589,589
465,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-588,588
376,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-587,587
232,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-586,586
445,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-585,585
73,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-584,584
432,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-583,583
161,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-582,582
137,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-581,581
356,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-580,580
277,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-579,579
245,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-578,578
430,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-577,577
384,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-576,576
502,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-575,575
57,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-574,574
494,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-573,573
365,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-572,572
13,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-571,571
16,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-570,570
405,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-569,569
27,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-568,568
215,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-567,567
295,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-566,566
148,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-565,565
31,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-564,564
61,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-563,563
41,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-562,562
200,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-561,561
284,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-560,560
223,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-559,559
160,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-558,558
122,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-557,557
128,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-556,556
112,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-555,555
335,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-554,554
266,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-553,553
549,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-552,552
133,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-551,551
305,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-550,550
396,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-549,549
211,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-548,548
299,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-547,547
189,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-546,546
453,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-545,545
282,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-544,544
389,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-543,543
559,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-542,542
234,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-541,541
75,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-540,540
350,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-539,539
60,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-538,538
258,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-537,537
196,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-536,536
572,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-535,535
530,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-534,534
130,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-533,533
271,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-532,532
247,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-531,531
501,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-530,530
34,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-529,529
343,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-528,528
131,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-527,527
493,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-526,526
482,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-525,525
77,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-524,524
194,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-523,523
243,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-521,521
37,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-520,520
528,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-519,519
100,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-518,518
40,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-517,517
302,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-516,516
45,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-515,515
25,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-514,514
543,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-513,513
377,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-512,512
434,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-511,511
449,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-510,510
17,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-509,509
471,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-508,508
50,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-507,507
44,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-506,506
2,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-505,505
230,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-504,504
418,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-503,503
392,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-502,502
82,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-501,501
254,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-500,500
524,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-499,499
127,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-498,498
553,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-497,497
504,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-496,496
55,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-495,495
62,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-494,494
462,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-493,493
174,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-492,492
522,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-491,491
406,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-490,490
190,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-489,489
181,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-488,488
218,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-487,487
21,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-486,486
169,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-485,485
119,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-484,484
338,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-483,483
416,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-482,482
551,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-481,481
85,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-480,480
518,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-479,479
204,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-478,478
547,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-477,477
514,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-476,476
296,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-475,475
167,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-474,474
68,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-473,473
417,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-472,472
279,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-471,471
287,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-470,470
51,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-469,469
121,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-468,468
293,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-467,467
134,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-466,466
459,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-465,465
203,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-464,464
439,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-463,463
452,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-462,462
394,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-461,461
186,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-460,460
