,URL,Auction Number
462,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-603,603
13,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-602,602
95,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-601,601
478,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-600,600
331,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-599,599
374,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-598,598
521,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-597,597
387,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-596,596
309,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-595,595
455,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-594,594
28,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-593,593
426,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-592,592
370,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-591,591
427,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-590,590
169,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-589,589
56,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-588,588
514,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-587,587
111,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-586,586
74,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-585,585
294,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-584,584
505,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-583,583
241,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-582,582
548,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-581,581
216,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-580,580
267,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-579,579
252,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-578,578
18,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-577,577
429,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-576,576
407,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-575,575
333,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-574,574
412,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-573,573
5,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-572,572
57,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-571,571
201,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-570,570
29,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-569,569
474,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-568,568
424,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-567,567
430,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-566,566
125,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-565,565
61,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-564,564
476,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-563,563
577,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-562,562
571,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-561,561
202,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-560,560
490,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-559,559
276,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-558,558
108,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-557,557
466,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-556,556
75,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-555,555
320,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-554,554
21,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-553,553
282,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-552,552
453,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-551,551
172,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-550,550
576,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-549,549
256,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-548,548
165,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-547,547
190,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-546,546
300,https://www.bestnetleiloes.com/pt/leiloes/arte-contemporanea-545,545
