1 Author,median
a portela,2.6890518647007946
a. carlos souto,2.68259120580551
a. j. luís,2.699448672047795
a. martin maqueda,2.6980641892094304
a. portela,3.1045395738098946
a. tamarga,1.7987094594729536
abel bravo da mata,4.171169976281555
abraham palatnik,2.71630613829008
abílio febra,2.6980641892094304
acácio de carvalho,1.8064879942597918
adelaide montpalma,2.71630613829008
adão rodrigues,2.709731991389688
afonso,2.71630613829008
albano de almeida coutinho,2.6903276975074704
alberto chissano,2.7163061382900806
albino moura,5.675451403711738
aldemir martins,2.6980641892094304
aldo rossi,2.23732107780721
alessandro mendini,2.6903276975074704
alexandre bastos,2.6980641892094304
alexandre fisga,2.709731991389688
alexandre gomes,2.68259120580551
alexandre reis,2.496476677545233
alexandre venturanasc.,2.6890518647007946
alfredo coelho,0.0
alfredo luz,2.465280934118877
alice jorge,4.175099194837714
almada negreiros,2.699448672047795
alvar aalto,2.68259120580551
amadeo de souzacardoso,2.6890518647007946
amarelhe,2.703898090299559
amália rodrigues,3.1503744336056063
américo moura,3.0308474620976735
ana cardoso,2.6858215352531523
ana marchand,2.707185163749755
ana maria,2.6980641892094304
ana maria botelho,1.4999365567767546
ana vidigal,2.68259120580551
ana vieira,2.6980641892094304
angela solla,2.696161598597599
anjos teixeira,2.71630613829008
antoni clavé,2.6980641892094304
antonio jiménez,1.3040076684760489
antónio albuquerque,0.0
antónio araújo,3.508562371983277
antónio areal,2.728205216751631
antónio boavida amaro,2.68259120580551
antónio bolota,3.672883796108725
antónio carmo,1.59699946813362
antónio castro,2.6935580269551123
antónio charrua,2.696161598597599
antónio cruz,2.71630613829008
antónio dacosta,2.703898090299559
antónio galvão,2.6980641892094304
antónio gonçalves,2.6858215352531523
antónio inverno,2.6935580269551123
antónio lino,2.138100724761447
antónio martinez,2.71630613829008
antónio matos,2.709731991389688
antónio neves,2.087799420863875
antónio oliveira tavares,2.71630613829008
antónio palolo,5.3155105326242165
antónio pimentel,2.363358945258697
antónio quadros ferreira,2.68259120580551
antónio sampaio,0.8559664061750435
antónio segurado,3.0394088786778166
antónio sem,2.6890518647007946
antónio sena,4.409843940172438
antónio tiago madeira,2.71630613829008
antónio trindade,2.6903276975074704
antónio viana,2.6980641892094304
arlindo vicente,2.6980641892094304
armand pierre fernandez,2.71630613829008
armanda passos,1.7353016743473333
armando alves,2.9454221821487576
armando alves martins,2.7220136756433795
armando ferreira,2.68259120580551
arpad szenes,3.984120165245781
artur bual,5.1914615682193315
artur josé,4.703988957271156
