1 Author,median
a portela,2.775194448957019
a. carlos souto,2.7579997144823603
a. j. luís,2.7579997144823603
a. martin maqueda,2.775194448957019
a. portela,3.1045395738098946
a. tamarga,1.8466756788884933
abel bravo da mata,4.221838267772357
abraham palatnik,2.805674572168663
abílio febra,2.7718607237980772
acácio de carvalho,0.9985774245179971
adelaide montpalma,2.805674572168663
adão rodrigues,2.7718607237980772
afonso,2.805674572168663
albano de almeida coutinho,2.790434510562841
alberto carneiro,2.805674572168663
alberto chissano,2.67377235867095
albino moura,5.407211751639387
aldemir martins,2.805674572168663
aldo rossi,2.540453257784409
aleksandra mir,2.805674572168663
alessandro mendini,2.781837143325512
alexandra mesquita,1.7490080240534955
alexandre bastos,2.77001351833274
alexandre cabrita,2.7579997144823603
alexandre fisga,2.7718607237980772
alexandre gomes,2.7718607237980772
alexandre reis,2.7700135183327403
alexandre venturanasc.,2.7718607237980772
alfredo coelho,0.0
alfredo luz,3.7838746771645413
alice jorge,4.129672235696931
almada negreiros,2.77001351833274
alvar aalto,2.7579997144823603
amadeo de souzacardoso,2.7718607237980772
amarelhe,2.76400661640755
amália rodrigues,3.142950905125416
américo moura,2.4849066497880004
ana cardoso,0.0
ana marchand,2.7878440452507016
ana maria,2.775194448957019
ana maria botelho,1.4999365567767546
ana pimentel,6.020334016881959
ana vidigal,2.773527586377548
ana vieira,2.7579997144823603
angela solla,2.773527586377548
anjos teixeira,2.775194448957019
antoni clavé,2.77001351833274
antonio jiménez,1.4344084353236537
antónio albuquerque,1.8479071491987182
antónio araújo,3.7136597970130367
antónio areal,3.0091368150727598
antónio boavida amaro,2.805674572168663
antónio bolota,5.39556281414131
antónio carmo,1.7184471546216658
antónio castro,2.775194448957019
antónio charrua,4.22291752015772
antónio cruz,2.805674572168663
antónio dacosta,2.781837143325512
antónio galvão,2.7649302191402185
antónio gonçalves,2.78876764798337
antónio inverno,2.773527586377548
antónio lino,3.326882995800017
antónio martinez,2.775194448957019
antónio matos,2.7718607237980772
antónio neves,0.9395097393887436
antónio oliveira tavares,2.7649302191402185
antónio palolo,5.660875427666036
antónio pimentel,1.7725192089440227
antónio quadros ferreira,2.77001351833274
antónio sampaio,1.7119328123500872
antónio segurado,3.076682329668535
antónio sem,2.7579997144823603
antónio sena,3.246544617433236
antónio tiago madeira,2.805674572168663
antónio trindade,2.7726039836448795
antónio viana,2.0715360328073973
arlindo vicente,2.7718607237980772
armand pierre fernandez,2.781837143325512
armanda passos,2.7116238667612427
armando alves,4.5172543032689525
armando alves martins,3.0863892221340548
armando ferreira,2.805674572168663
arpad szenes,6.360749179725476
artur bual,4.816135290757212
artur josé,4.726645771959178
artur rosa,2.775194448957019
artur rosan.,2.805674572168663
artur varela,2.7718607237980772
ary,2.7718607237980772
auguste renoir,2.805674572168663
augusto barros,4.684926470747312
augusto castro,3.0349932854394517
augusto ferreira,2.77001351833274
avelino sá,2.773527586377548
baritta,1.8386664763215734
bartolomeu cid dos santos,4.050406133747501
beatriz campos,2.7718607237980772
bela mestre,2.7718607237980772
bela silva,3.624755489898117
bernardo marques,2.76400661640755
bertina lopes,3.555777802997187
branislav mihajlovic,2.805674572168663
bravo da mata,2.869027139297106
bruno escoval,2.77001351833274
bruno pacheco,2.77001351833274
cabaleiro,2.775194448957019
calassans neto,2.7718607237980772
camila loureiro,2.7579997144823603
capela,2.77001351833274
carlos alberto marques,2.805674572168663
carlos botelho,4.521888321075173
carlos calvet,2.272677445141175
carlos carneiro,2.0007749054921815
carlos cobra,2.7718607237980772
carlos dugos,2.395752906623941
carlos eurico da costa,3.383449210155885
carlos ferreiro,2.775194448957019
carlos lança,2.7665970817196897
carlos martins pereira,2.399509552448787
carlos moura,1.5234946548669595
carlos neto,1.8386664763215734
carlos rocha pinto,2.732036272659213
carlos trindade,3.7197810143454575
carlos vasconcelos e sá,2.775194448957019
carlos vizeu,0.9780057513570366
carmen mira,1.8479071491987182
carmo cabral,2.805674572168663
carmo pólvora,2.7649302191402185
catarina castelbranco,4.100460941778167
cervantes de haro,1.2600780687523645
charters de almeida,3.4999751761531606
cipriano dourado,2.790434510562841
clara martins,2.7579997144823603
clara menéres,2.7579997144823603
clo bourgard,0.0
constança arouca,2.7579997144823603
correia pinto,2.7709371210654083
costa camelo,1.8782632010564164
costa júnior,2.7718607237980772
costa martins,2.407742996408903
costa pinheiro,4.022968474253408
costanzo mongini,2.805674572168663
cristina ataíde,2.7718607237980772
cristina guise,2.7579997144823603
cristina valadas,2.7878440452507016
cristovão dias,2.775194448957019
cruzeiro seixas,4.456788357830398
cruzeiro seixas ,5.129803650517579
cândido costa pinto,2.7579997144823603
cândido teles,2.7649302191402185
cícero dias,2.77001351833274
d'anestis david,2.775194448957019
d'assis cordeiro,4.250125482209603
daniel nave,2.805674572168663
daniela anghel,2.7718607237980772
dario alves,2.4169958629150385
darocha,2.775194448957019
daum,2.775194448957019
david b. ponsonby,2.381167097191732
david daniel,2.7718607237980772
david de almeida,2.2115080457651772
david levy lima,2.805674572168663
david lopes filho,2.805674572168663
delfina mendonça,2.76400661640755
deolinda fonseca,2.775194448957019
diogo de macedo,2.790434510562841
diogo de siqueira,2.805674572168663
diogo guerra pinto,1.6702117646987522
diogo moura brito,2.77001351833274
domingos oliveira,2.7878440452507016
domingos pinho,3.59270737612975
dorita castelbranco,4.650036436678891
duarte botelho,4.175309656508198
duarte saraiva,1.8466756788884933
duma (dulce maria norte rodrigues arantes),2.781837143325512
dário vidal,2.775194448957019
dórdio gomes,2.781837143325512
edgar silva,3.2714659944019697
edmundo cruz,2.7579997144823603
eduardo abrantes,1.8501296326380128
eduardo alarcão,3.609849577574896
eduardo alves,3.1653518269183274
eduardo batarda,5.446759682549232
eduardo luiz,3.561522003303528
eduardo matos,2.7579997144823603
eduardo nery,2.9216517922507403
eduardo paolozzi,2.77001351833274
eduardo ribeiro,2.7878440452507016
elsa césar,1.623059958755118
ema m,2.7726039836448795
emanuel de sousa,2.805674572168663
emerenciano,3.628782586687927
emmérico nunes,2.738480700301494
emília azevedo,2.773527586377548
emília nadal,1.0818683368115074
enzo mari,2.7718607237980772
eric laurent,2.77001351833274
ernani oliveira,3.3471880355418215
espiga pinto,2.7761638142863627
estrela faria,2.975394698985387
euclides vaz,2.7718607237980772
eugeni torrens,2.775194448957019
eurico gonçalves,0.7602845466070902
eva armisén,2.77001351833274
eveline von maydell,2.775194448957019
f. camacho,2.7718607237980772
f. gonçalves,2.775194448957019
faria,2.773527586377548
fausto boavida,1.3210684056357833
felippa lobato,1.9620346771500519
fermin ramirez,2.7718607237980772
fernanda sousa,2.805674572168663
fernandez arman,2.805674572168663
fernando calhau,3.2875551860052905
fernando conduto,2.9248185119243377
fernando costa,2.77001351833274
fernando cruz,1.9620346771500514
fernando d' f. pereira,2.7649302191402185
fernando de azevedo,3.8402978782064685
fernando dinger,2.77001351833274
fernando gaspar,2.7718607237980772
fernando lanhas,4.458231981582886
fernando silva ferreira,2.76400661640755
fernando verdugo,2.77001351833274
ferreira,2.7579997144823603
figueiredo sobral,2.632099707106655
filipe branco duarte,2.775194448957019
filipe rocha da silva,1.7214592146567453
flávia monsaraz,2.775194448957019
francis smith,2.7649302191402185
francisco alberto pereira vilaça,2.805674572168663
francisco barceló,2.7718607237980772
francisco d'almada (francisco simões),2.6056551608219167
francisco de carvalho e rêgo,2.7718607237980772
francisco geraldo,2.7579997144823603
francisco ginjeira,0.0
francisco laranjo,2.7878440452507016
francisco relógio,2.980405549664649
francisco santos,2.78876764798337
francisco simões,2.665241124561066
francisco simões (d'almada),2.77001351833274
francisco valença,1.8466756788884933
francisco vidal,2.773527586377548
fred kradolfer,2.781837143325512
fátima melo,0.0
fátima mendonça,2.7718607237980772
gabriela albergaria,2.7579997144823603
garizo do carmo,2.77001351833274
gerardo burmester,2.7878440452507016
germano santos,2.7579997144823603
gil heitor cortesão,7.027665482516087
gil teixeira lopes,2.805674572168663
gomes martins,2.7579997144823603
gonzalez bravo,2.682315068039216
gonçalo duarte,2.8007600450807133
gonçalo van zeller,2.775194448957019
gracinda candeias,2.734999900702643
granovsky,2.7709371210654083
graziela albino,2.775194448957019
graça morais,3.634514478386415
graça pereira coutinho,2.77001351833274
gregory fink,2.77001351833274
guilherme parente,3.560237244806822
guima (antonio ferreira oliveira guimarães),2.775194448957019
guy demun,2.805674572168663
gérard laplau,2.775194448957019
h. mourato,1.8479071491987182
hans erni,2.805674572168663
hans hartung,2.781837143325512
hansi stael,3.0349932854394517
hansi stael (von holstein),2.7718607237980772
hein semke,3.3817324075511905
heitor chichorro,2.7579997144823603
helder pereira,2.9512218093458173
helena abreu,2.77001351833274
helena almeida,2.790434510562841
helena justino,2.77001351833274
helena liz,1.8593750868385825
helena pinto,2.7709371210654083
helena teles,2.78876764798337
helena vaz,0.505094374497971
henrique do vale,2.7878440452507016
henrique manuel,1.9192802496241348
henrique moreira,2.805674572168663
henrique risques pereira,2.775194448957019
henrique ruivo,1.7272401409880604
henrique silva,2.7665970817196897
hilário teixeira lopes,2.781837143325512
hirosuke watanuki,2.805674572168663
hitoshi takemoto,2.77001351833274
horta e costa,2.4036285526972603
hugo canoilas,2.7718607237980772
humberto marçal,0.0
idalina dionísio,2.775194448957019
ilberino santos,2.781837143325512
ilda david,4.7125486188941785
ilda reis,2.9207064488249856
ingo maurer,2.7718607237980772
inácio matsinhe,3.837247167297999
inês botelho,2.77001351833274
irene costa,1.3647815207407
isabel augusta,2.77001351833274
isabel cabral ,4.922891063390232
isabel de goes,5.369348438368274
isabel garcia,4.279566966703294
isabel laginhas,2.0468020553321167
isabel mendes ferreira,2.7718607237980772
isabel mourãonasc.,2.7579997144823603
isabel r. braga,2.7649302191402185
isabel rodrigues,2.77001351833274
isabel saraiva,2.805674572168663
isabel torres,4.669826010293934
isabelino,2.7579997144823603
isabelle faria,0.0
isac,2.775194448957019
j. braz,2.7579997144823603
j. dâmaso,2.7709371210654083
j. p. barata,2.7878440452507016
jacinto luís,2.6468190717751066
jackie catarino,2.7579997144823603
jaime isidoro,3.057005083537086
james coignard,2.7579997144823603
jaroslaw gruzewski,2.7709371210654083
jean baptiste valadié,2.7718607237980772
jean espieux,2.7579997144823603
jeanclaude novaro,2.775194448957019
jeremy barlow,2.775194448957019
jim dine,2.7718607237980772
jnah d'ávila costa,2.7665970817196897
joan miró,3.734635203644552
joana lucas,2.7718607237980772
joana rosa,2.5670326665310097
joana salvador,3.685708953726047
joana vasconcelos,2.7718607237980772
joaquim bento almeida,2.7579997144823603
joaquim bravo,2.775194448957019
joaquim rodrigo,2.7726039836448795
joel linard,2.77001351833274
jorge bandeira,2.77001351833274
jorge barradas,3.344826760573797
jorge curval,3.0153627794967215
jorge de almeida,2.775194448957019
jorge martins,2.733534250993645
jorge mealha,2.7726039836448795
jorge oliveira,2.775194448957019
jorge pinheiro,1.4140704574103418
jorge portela,4.226710181701316
jorge queiroz,2.78876764798337
jorge ricciardi,2.78876764798337
jorge rodrigues,2.7579997144823603
jorge vasconcelos,2.7579997144823603
jorge vieira,2.781837143325512
josef hoffmann,2.805674572168663
josè duarte,2.775194448957019
josé antónio da silva,2.775194448957019
josé augusto,2.7718607237980772
josé aurélio,2.775194448957019
josé barrias,2.805674572168663
josé batista marques,2.805674572168663
josé cândido,2.7718607237980772
josé david,2.78876764798337
josé de guimarães,5.202175883861886
josé de lemos,3.6207476299343115
josé de moura,2.7665970817196897
josé duarte,2.805674572168663
josé emídio,2.76400661640755
josé escada,2.7718607237980772
josé guimarães dos santos,2.77001351833274
josé joão brito,4.100460941778167
josé júlio andrade dos santos,2.7579997144823603
josé leite,1.8466756788884933
josé loureiro,2.7718607237980772
josé lourenço,3.1356362205378465
josé luís alfaro,2.775194448957019
