,Auction Number,Artwork Number,Title,Technique,Dimensions,Estimated Price,Date of Auction End,Sale Price,Image URL,Number of Authors,1 Author,2 Author,3 Author,1 Author Birth,1 Author Death,2 Author Birth,2 Author Death,3 Author Birth,3 Author Death,Technique Tokenized,Technique Lemmatized,Dim 1,Dim 2,Dim 3,Dimension List,Number of Dimensions,Dimension Units,Number of Artworks,Dominant Colour RGB,Palette Colour RGB,Dominant Colour Name,Palette Colour Names,Year,Month,Day,Day of Week,Hour,Sold,Final Price
0,1222,1,Sem título,"par de tecnicas mistas sobre papel, assinadas",Dim. - 28 x 37 cm,40,2020-02-02 21:00:00,60,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041109_p.jpg,1,horta e costa,none,none,1953,no information,no information,no information,no information,no information,par+tecnicas+mistas+papel+assinadas,par+tecnica+mista+papel+assinar,28,37,,"['28', '37']",2,cm,2,"(84, 82, 89)","[(72, 68, 76), (213, 215, 211), (159, 168, 188), (147, 152, 148), (114, 123, 143), (111, 113, 108), (182, 173, 152), (137, 119, 112), (221, 216, 90)]",dimgray,"['darkslategray', 'lightgray', 'darkgray', 'lightslategray', 'slategray', 'dimgray', 'darkgray', 'gray', 'darkkhaki']",2020,2,2,Sunday,21,1,60
1,1222,2,"""Arco da Rua Augusta""","oleo sobre tela, assinado barros e datado de 2000",Dim. - 60 x 50 cm,300,2020-02-02 21:00:15,Not sold,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041437_p.jpg,1,no information,none,none,no information,no information,no information,no information,no information,no information,oleo+tela+assinado+barros+datado,oleo+tela+assinar+barro+datar,60,50,,"['60', '50']",2,cm,1,"(89, 149, 190)","[(88, 146, 185), (215, 212, 204), (53, 74, 125), (171, 186, 194), (100, 175, 233), (138, 132, 111), (43, 126, 178), (196, 156, 124), (140, 212, 248)]",steelblue,"['steelblue', 'lightgray', 'darkslateblue', 'silver', 'cornflowerblue', 'gray', 'steelblue', 'rosybrown', 'lightskyblue']",2020,2,2,Sunday,21,0,0
2,1222,3,Sem título,"oleo sobre tela, assinado e datado de 1986",Dim. - 100 x 82 cm,300,2020-02-02 21:03:26,400,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041227_p.jpg,1,rui cunha,none,none,1942,no information,no information,no information,no information,no information,oleo+tela+assinado+datado,oleo+tela+assinar+datar,100,82,,"['100', '82']",2,cm,1,"(132, 138, 157)","[(137, 142, 160), (198, 183, 178), (85, 66, 72), (59, 75, 113), (130, 161, 209), (135, 114, 107), (86, 104, 140), (80, 73, 101), (175, 181, 187)]",lightslategray,"['lightslategray', 'silver', 'darkslategray', 'darkslateblue', 'cornflowerblue', 'gray', 'slategray', 'darkslategray', 'silver']",2020,2,2,Sunday,21,1,400
3,1222,4,"""Coimbra""","oleo sobre platex, assinado",Dim. - 40 x 50 cm,150,2020-02-02 21:03:47,600,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041375_p.jpg,1,pedro olayo filho,none,none,1930,no information,no information,no information,no information,no information,oleo+platex+assinado,oleo+platex+assinar,40,50,,"['40', '50']",2,cm,1,"(148, 161, 187)","[(128, 144, 170), (72, 92, 117), (218, 214, 235), (102, 106, 119), (188, 188, 210), (198, 214, 235), (188, 200, 230), (159, 184, 209), (95, 89, 107)]",darkgray,"['lightslategray', 'dimgray', 'gainsboro', 'dimgray', 'lightsteelblue', 'powderblue', 'lightsteelblue', 'lightsteelblue', 'dimgray']",2020,2,2,Sunday,21,1,600
4,1222,5,"""Trecho de Coimbra""","oleo sobre platex, assinado",Dim. - 59 x 49 cm,180,2020-02-02 21:01:00,375,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041133_p.jpg,1,pedro olayo filho,none,none,1930,no information,no information,no information,no information,no information,oleo+platex+assinado,oleo+platex+assinar,59,49,,"['59', '49']",2,cm,1,"(177, 170, 185)","[(53, 53, 74), (200, 192, 206), (82, 70, 90), (96, 98, 121), (136, 136, 159), (121, 110, 128), (142, 131, 134), (94, 86, 90), (160, 144, 161)]",darkgray,"['darkslategray', 'silver', 'darkslategray', 'dimgray', 'lightslategray', 'gray', 'gray', 'dimgray', 'darkgray']",2020,2,2,Sunday,21,1,375
5,1222,6,Sem título,"tecnica mista sobre papel, assinada e datada de 1983",Dim. - 23 x 17 cm,40,2020-02-02 21:06:42,180,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041646_p.jpg,1,miguel d'alte,none,none,1954,2007,no information,no information,no information,no information,tecnica+mista+papel+assinada+datada,tecnica+misturar+papel+assinar+datar,23,17,,"['23', '17']",2,cm,1,"(168, 182, 204)","[(169, 183, 205), (64, 61, 79), (72, 89, 117), (104, 116, 134), (119, 135, 160), (199, 212, 237), (98, 90, 111), (141, 132, 157), (132, 68, 68)]",lightsteelblue,"['lightsteelblue', 'darkslategray', 'darkslateblue', 'slategray', 'lightslategray', 'powderblue', 'dimgray', 'lightslategray', 'sienna']",2020,2,2,Sunday,21,1,180
6,1222,7,Sem título,"tecnica mista sobre papel, assinada e datada de 1983",Dim. - 23 x 17 cm,40,2020-02-02 21:03:49,160,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041643_p.jpg,1,miguel d'alte,none,none,1954,2007,no information,no information,no information,no information,tecnica+mista+papel+assinada+datada,tecnica+misturar+papel+assinar+datar,23,17,,"['23', '17']",2,cm,1,"(116, 94, 116)","[(100, 93, 119), (208, 195, 203), (47, 58, 88), (173, 107, 121), (118, 145, 181), (73, 55, 64), (179, 173, 183), (197, 98, 117), (66, 41, 60)]",dimgray,"['dimgray', 'thistle', 'darkslategray', 'rosybrown', 'lightslategray', 'darkslategray', 'darkgray', 'indianred', 'darkslategray']",2020,2,2,Sunday,21,1,160
7,1222,8,Sem título,"par de tecnicas mistas sobre papel, uma assinada coca e datada de 1993",Dim. - 16 x 23.5 cm,60,2020-02-02 21:01:45,Not sold,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041591_p.jpg,1,no information,none,none,no information,no information,no information,no information,no information,no information,par+tecnicas+mistas+papel+assinada+coca+datada,par+tecnica+mista+papel+assinar+coca+datar,16,23.5,,"['16', '23.5']",2,cm,2,"(142, 98, 99)","[(218, 193, 190), (128, 91, 96), (202, 184, 143), (208, 145, 124), (183, 120, 105), (184, 141, 143), (159, 105, 100), (160, 133, 114), (136, 72, 57)]",dimgray,"['silver', 'dimgray', 'tan', 'darksalmon', 'indianred', 'rosybrown', 'gray', 'gray', 'sienna']",2020,2,2,Sunday,21,0,0
8,1222,9,Sem título,"serigrafia sobre papel, assinada e datada de 1989, marcada 152/200",Dim. - 18 x 24.5 cm,10,2020-02-02 21:03:59,14,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041667_p.jpg,1,rico sequeira,none,none,1954,no information,no information,no information,no information,no information,serigrafia+papel+assinada+datada+marcada,serigrafia+papel+assinar+datar+marcar,18,24.5,,"['18', '24.5']",2,cm,1,"(243, 244, 247)","[(99, 98, 116), (246, 247, 250), (170, 169, 179), (139, 140, 150), (204, 204, 213), (148, 140, 159), (148, 148, 148), (196, 188, 202), (196, 196, 196)]",whitesmoke,"['dimgray', 'whitesmoke', 'darkgray', 'lightslategray', 'lightgray', 'lightslategray', 'lightslategray', 'silver', 'silver']",2020,2,2,Sunday,21,1,14
9,1222,10,Sem título,"tecnica mista sobre papel, assinada e datada de 1983",Dim. - 17 x 23 cm,40,2020-02-02 21:02:15,120,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041463_p.jpg,1,miguel d'alte,none,none,1954,2007,no information,no information,no information,no information,tecnica+mista+papel+assinada+datada,tecnica+misturar+papel+assinar+datar,17,23,,"['17', '23']",2,cm,1,"(122, 165, 209)","[(123, 170, 214), (73, 78, 105), (184, 118, 131), (112, 105, 126), (108, 115, 153), (128, 137, 165), (90, 144, 195), (66, 102, 144), (157, 204, 240)]",cornflowerblue,"['cornflowerblue', 'darkslategray', 'rosybrown', 'dimgray', 'slategray', 'lightslategray', 'steelblue', 'darkslateblue', 'lightblue']",2020,2,2,Sunday,21,1,120
10,1222,11,Sem título,"tecnica mista sobre papel, assinada",Dim. - 24 x 54 cm,60,2020-02-02 21:02:30,Not sold,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041484_p.jpg,1,raul da costa camelo,none,none,1924,2008,no information,no information,no information,no information,tecnica+mista+papel+assinada,tecnica+misturar+papel+assinar,24,54,,"['24', '54']",2,cm,1,"(202, 198, 202)","[(142, 128, 122), (195, 191, 193), (231, 232, 241), (152, 146, 149), (156, 141, 130), (212, 215, 231), (120, 114, 118), (165, 152, 150), (232, 215, 205)]",silver,"['gray', 'silver', 'lavender', 'lightslategray', 'gray', 'gainsboro', 'gray', 'rosybrown', 'gainsboro']",2020,2,2,Sunday,21,0,0
11,1222,12,Sem título,"tecnica mista sobre papel, nao assinada",Dim. - 23.5 x 35 cm,40,2020-02-02 21:02:45,46,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041413_p.jpg,1,raul da costa camelo,none,none,1924,2008,no information,no information,no information,no information,tecnica+mista+papel+assinada,tecnica+misturar+papel+assinar,23.5,35,,"['23.5', '35']",2,cm,1,"(149, 158, 191)","[(226, 225, 241), (147, 157, 191), (80, 88, 124), (90, 101, 136), (105, 111, 141), (186, 189, 214), (193, 205, 234), (106, 115, 156), (113, 100, 108)]",darkgray,"['lavender', 'darkgray', 'darkslateblue', 'dimgray', 'slategray', 'lightsteelblue', 'lightsteelblue', 'slategray', 'dimgray']",2020,2,2,Sunday,21,1,46
12,1222,13,Sem título,"serigrafia sobre papel, assinada e datada de 1987, numerada 46/350",Dim. - 34 x 25 cm,20,2020-02-02 21:11:57,40,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041654_p.jpg,1,tomthomaz de mello,none,none,1906,1990,no information,no information,no information,no information,serigrafia+papel+assinada+datada+numerada,serigrafia+papel+assinar+datar+numerada,34,25,,"['34', '25']",2,cm,1,"(77, 97, 104)","[(78, 97, 103), (201, 188, 186), (151, 148, 149), (169, 195, 209), (162, 176, 190), (33, 64, 70), (94, 151, 158), (110, 137, 149), (180, 116, 124)]",dimgray,"['dimgray', 'silver', 'darkgray', 'lightsteelblue', 'darkgray', 'darkslategray', 'cadetblue', 'lightslategray', 'rosybrown']",2020,2,2,Sunday,21,1,40
13,1222,14,Sem título,"serigrafia sobre papel, assinada e datada de 1987, numerada 46/350",Dim. - 34 x 23 cm,20,2020-02-02 21:03:15,26,https://leiloescml-aclserviatildese.netdna-ssl.com/fotos/l1222/cabralmoncada041622_p.jpg,1,tomthomaz de mello,none,none,1906,1990,no information,no information,no information,no information,serigrafia+papel+assinada+datada+numerada,serigrafia+papel+assinar+datar+numerada,34,23,,"['34', '23']",2,cm,1,"(127, 149, 161)","[(47, 88, 110), (112, 135, 148), (222, 214, 219), (183, 179, 182), (87, 88, 88), (73, 73, 89), (123, 176, 179), (105, 170, 219), (199, 208, 207)]",lightslategray,"['darkslategray', 'slategray', 'gainsboro', 'silver', 'dimgray', 'darkslategray', 'mediumaquamarine', 'cornflowerblue', 'lightgray']",2020,2,2,Sunday,21,1,26
